,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
782,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,117699
783,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,154424
784,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,150442
785,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,243362
786,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,300884
787,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,174336
792,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,210619
793,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,147787
794,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,161946
795,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,64601
796,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,98761
797,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,95132
798,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,324778
799,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,61946
801,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,119469
802,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,201672
803,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,83185
805,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,63716
806,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,302654
807,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,187610
808,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,371681
809,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,60176
810,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,371681
812,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,323893
813,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,97345
814,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,55752
815,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,292035
817,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,190265
818,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,270796
819,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,212389
820,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,181415
821,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,281592
822,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,465486
823,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,262831
824,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,150442
825,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,415929
827,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,318584
829,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,317699
830,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,69026
832,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,138053
833,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,195575
834,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,86725
836,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,265486
837,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,51327
838,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,181415
840,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,396460
841,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,238938
842,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,234513
843,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,199115
844,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,108849
846,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,236283
849,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,127433
851,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,508849
852,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,279646
853,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,295575
854,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,108407
855,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,265486
856,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,312389
858,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,290000
860,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,201769
861,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,360176
862,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,233628
865,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,296460
866,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,387610
870,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,199115
872,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,309734
874,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,163716
875,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,215486
876,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,209734
877,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,222123
879,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,246017
880,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,201769
882,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,357522
883,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,284070
884,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,380530
885,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,130088
886,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,209734
887,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,202654
889,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,121238
890,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,327433
891,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,333628
892,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,283185
893,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184955
894,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,247787
896,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,432743
898,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,35840
899,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,246017
900,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,247787
903,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,152212
907,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,141884
908,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,203539
909,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,257654
910,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,309734
912,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,153097
913,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,159292
914,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,274336
916,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,256637
920,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,221238
921,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,168141
923,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,345902
925,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,178761
926,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,160176
927,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,178761
928,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,408849
929,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,165486
931,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,140380
932,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,340707
933,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,268141
934,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,309734
935,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,362831
936,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,262831
937,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,99115
939,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,269911
940,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,376867
942,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,70353
945,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,297787
946,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,325221
948,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,107964
949,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,335398
950,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,149292
951,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,92920
953,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,230088
954,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,247787
955,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,228318
956,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,231858
957,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,314159
958,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,334513
959,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,74336
964,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,68141
965,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,74778
966,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,207079
969,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,300884
970,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,210619
971,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,529203
972,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,193805
973,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,165486
974,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,243362
976,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,237168
977,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,274336
980,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,157964
981,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,189115
982,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,207964
983,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,264159
984,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,254867
985,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,402654
986,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,65486
990,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,346902
992,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,179646
994,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,188265
995,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,176991
996,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,184955
997,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,338053
998,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,88495
999,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,148672
1000,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,273451
1001,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,178318
1002,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,294690
1005,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,166371
1006,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,147787
1007,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,164601
1008,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,49557
1009,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,269911
1011,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,162743
1012,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,296460
1013,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,84070
1015,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82743
1016,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,207964
1017,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,63716
1019,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,262831
1020,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,156637
1023,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,241592
1024,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,328318
1025,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,292035
1026,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,66371
1027,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,159292
1029,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,180530
1030,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,199115
1031,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,175221
1032,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,106194
1033,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,330973
1034,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,141592
1037,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,486725
1038,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,151327
1040,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,174336
1042,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,464601
1045,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,230088
1046,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,256637
1047,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,288495
1048,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,132743
1050,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,209911
1051,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,119469
1052,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184070
1053,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,274336
1056,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,389380
1059,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,327433
1061,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,314159
1063,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,124778
1065,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,291150
1066,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,280530
1068,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,35398
1071,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,332743
1075,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,171681
1076,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,307964
1077,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,205309
1078,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,200221
1079,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,146017
1081,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,219469
1085,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,367256
1086,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,283185
1087,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,424778
1088,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,380530
1089,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,223008
1091,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,305309
1092,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,179646
1093,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,163716
1095,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,151327
1096,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,202654
1098,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,159292
1099,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,279646
1100,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,119469
1101,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,268849
1102,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,265486
1103,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,213274
1104,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,107345
1105,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,349557
1106,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,245132
1107,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,221238
1108,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,132743
1110,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,144247
1111,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,216814
1113,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,150442
1114,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,128318
1115,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,141592
1116,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,243362
1117,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,212389
1118,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,227433
1119,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,92920
1120,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,278761
1121,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1448,341592
1122,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,194690
1125,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,260176
1126,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,371681
1127,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,415929
1128,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,338938
1129,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,252212
1130,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92920
1131,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,79646
1132,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,305309
1133,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,307079
1134,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,75221
1135,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,78318
1136,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,194690
1138,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,117699
1139,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,96460
1140,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,219469
1141,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,98230
1143,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,274336
1146,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,212389
1148,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,261061
1149,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,284955
1150,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,283185
1151,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,192920
1152,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,137168
1153,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,287610
1158,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92035
1163,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,196460
1164,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,146017
1165,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,198230
1167,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,200318
1169,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,237610
1170,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,149557
1173,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,448672
1174,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,214601
1175,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,238938
1176,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,252212
1177,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,300000
1179,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,260176
1180,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,530973
1181,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,251327
1183,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73053
1184,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,225663
1186,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,309734
1187,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,238938
1190,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,252212
1192,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,114159
1193,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,238053
1195,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,190265
1196,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,68141
